tx_id,src_id,dst_id,amount,timestamp,description,embedding,fraud_label,ring_id
tx_10,acc_8989,acc_230,362.66,2024-01-01T10:00:00,salary deposit,0.597453236579895|0.8582154512405396|0.5490487813949585|0.5491294860839844|0.574560284614563|0.29409533739089966|0.6905863285064697|0.13811588287353516,0,
tx_11,acc_6534,acc_18,251.85,2024-01-01T10:00:00,investment deposit,0.23608139157295227|0.9029799103736877|0.8589285612106323|0.05286058783531189|0.40212538838386536|0.16799317300319672|0.5681096911430359|0.15377177298069,0,
tx_12,acc_5458,acc_3996,354.78,2024-01-01T10:00:00,atm withdrawal,0.31204885244369507|0.646647036075592|0.4768295884132385|0.31131452322006226|0.7565145492553711|0.8367018699645996|0.24399809539318085|0.9977754354476929,0,
tx_13,acc_1031,acc_3130,118.63,2024-01-01T10:00:00,investment deposit,0.23608139157295227|0.9029799103736877|0.8589285612106323|0.05286058783531189|0.40212538838386536|0.16799317300319672|0.5681096911430359|0.15377177298069,0,
tx_14,acc_2334,acc_8896,54.7,2024-01-01T10:00:00,insurance premium,0.33380112051963806|0.4586203694343567|0.5838662981987|0.5698176622390747|0.25706443190574646|0.4771043658256531|0.8953772187232971|0.9008307456970215,0,
tx_15,acc_5243,acc_8322,63.44,2024-01-01T10:00:00,insurance premium,0.33380112051963806|0.4586203694343567|0.5838662981987|0.5698176622390747|0.25706443190574646|0.4771043658256531|0.8953772187232971|0.9008307456970215,0,
tx_16,acc_9031,acc_4769,278.25,2024-01-01T10:00:00,salary deposit,0.597453236579895|0.8582154512405396|0.5490487813949585|0.5491294860839844|0.574560284614563|0.29409533739089966|0.6905863285064697|0.13811588287353516,0,
tx_17,acc_8852,acc_3329,278.14,2024-01-01T10:00:00,investment deposit,0.23608139157295227|0.9029799103736877|0.8589285612106323|0.05286058783531189|0.40212538838386536|0.16799317300319672|0.5681096911430359|0.15377177298069,0,
tx_18,acc_4712,acc_7290,302.18,2024-01-01T10:00:00,salary deposit,0.597453236579895|0.8582154512405396|0.5490487813949585|0.5491294860839844|0.574560284614563|0.29409533739089966|0.6905863285064697|0.13811588287353516,0,
tx_19,acc_6306,acc_5194,128.63,2024-01-01T10:00:00,investment deposit,0.23608139157295227|0.9029799103736877|0.8589285612106323|0.05286058783531189|0.40212538838386536|0.16799317300319672|0.5681096911430359|0.15377177298069,0,
tx_20,acc_3012,acc_3102,26.16,2024-01-01T10:00:00,utility bill payment,0.9425399303436279|0.6992866396903992|0.7120257616043091|0.2511560618877411|0.21395057439804077|0.9848535060882568|0.6753411889076233|0.16796524822711945,0,
tx_21,acc_4260,acc_7807,54.01,2024-01-01T10:00:00,salary deposit,0.597453236579895|0.8582154512405396|0.5490487813949585|0.5491294860839844|0.574560284614563|0.29409533739089966|0.6905863285064697|0.13811588287353516,0,
tx_22,acc_2133,acc_2450,422.81,2024-01-01T10:00:00,grocery store purchase,0.1170865073800087|0.2581188380718231|0.956002950668335|0.10587705671787262|0.7031157612800598|0.06225818768143654|0.03444619104266167|0.1893383264541626,0,
tx_23,acc_8857,acc_6410,145.06,2024-01-01T10:00:00,mortgage payment,0.4359501302242279|0.482932448387146|0.14257493615150452|0.5612303018569946|0.041915133595466614|0.5039990544319153|0.9002955555915833|0.7567067742347717,0,
tx_24,acc_3858,acc_3525,414.38,2024-01-01T10:00:00,investment deposit,0.23608139157295227|0.9029799103736877|0.8589285612106323|0.05286058783531189|0.40212538838386536|0.16799317300319672|0.5681096911430359|0.15377177298069,0,
tx_25,acc_6871,acc_9497,230.78,2024-01-01T10:00:00,restaurant payment,0.3084609806537628|0.003976467531174421|0.6529578566551208|0.331693559885025|0.5241283178329468|0.30914151668548584|0.42852240800857544|0.1168290227651596,0,
tx_26,acc_5855,acc_1349,310.26,2024-01-01T10:00:00,atm withdrawal,0.31204885244369507|0.646647036075592|0.4768295884132385|0.31131452322006226|0.7565145492553711|0.8367018699645996|0.24399809539318085|0.9977754354476929,0,
tx_27,acc_7969,acc_9618,424.09,2024-01-01T10:00:00,atm withdrawal,0.31204885244369507|0.646647036075592|0.4768295884132385|0.31131452322006226|0.7565145492553711|0.8367018699645996|0.24399809539318085|0.9977754354476929,0,
tx_28,acc_3981,acc_265,67.4,2024-01-01T10:00:00,restaurant payment,0.3084609806537628|0.003976467531174421|0.6529578566551208|0.331693559885025|0.5241283178329468|0.30914151668548584|0.42852240800857544|0.1168290227651596,0,
tx_29,acc_3612,acc_6095,172.94,2024-01-01T10:00:00,utility bill payment,0.9425399303436279|0.6992866396903992|0.7120257616043091|0.2511560618877411|0.21395057439804077|0.9848535060882568|0.6753411889076233|0.16796524822711945,0,
tx_30,acc_1018,acc_1648,429.11,2024-01-01T10:00:00,utility bill payment,0.9425399303436279|0.6992866396903992|0.7120257616043091|0.2511560618877411|0.21395057439804077|0.9848535060882568|0.6753411889076233|0.16796524822711945,0,
tx_31,acc_3584,acc_741,320.76,2024-01-01T10:00:00,investment deposit,0.23608139157295227|0.9029799103736877|0.8589285612106323|0.05286058783531189|0.40212538838386536|0.16799317300319672|0.5681096911430359|0.15377177298069,0,
tx_32,acc_8752,acc_9865,23.08,2024-01-01T10:00:00,salary deposit,0.597453236579895|0.8582154512405396|0.5490487813949585|0.5491294860839844|0.574560284614563|0.29409533739089966|0.6905863285064697|0.13811588287353516,0,
tx_33,acc_3088,acc_9934,68.65,2024-01-01T10:00:00,investment deposit,0.23608139157295227|0.9029799103736877|0.8589285612106323|0.05286058783531189|0.40212538838386536|0.16799317300319672|0.5681096911430359|0.15377177298069,0,
tx_34,acc_1499,acc_6064,27.83,2024-01-01T10:00:00,salary deposit,0.597453236579895|0.8582154512405396|0.5490487813949585|0.5491294860839844|0.574560284614563|0.29409533739089966|0.6905863285064697|0.13811588287353516,0,
tx_35,acc_354,acc_3188,361.88,2024-01-01T10:00:00,utility bill payment,0.9425399303436279|0.6992866396903992|0.7120257616043091|0.2511560618877411|0.21395057439804077|0.9848535060882568|0.6753411889076233|0.16796524822711945,0,
tx_36,acc_7851,acc_3450,469.11,2024-01-01T10:00:00,grocery store purchase,0.1170865073800087|0.2581188380718231|0.956002950668335|0.10587705671787262|0.7031157612800598|0.06225818768143654|0.03444619104266167|0.1893383264541626,0,
tx_37,acc_373,acc_8916,314.09,2024-01-01T10:00:00,peer to peer transfer,0.8779184222221375|0.8226256370544434|0.7044581174850464|0.831332802772522|0.3391503393650055|0.15666824579238892|0.9165176153182983|0.7118837833404541,0,
tx_38,acc_4258,acc_1146,45.27,2024-01-01T10:00:00,online subscription,0.41516026854515076|0.818891167640686|0.16727232933044434|0.8448211550712585|0.11390852183103561|0.4032769203186035|0.4932481646537781|0.5231239795684814,0,
tx_39,acc_4932,acc_5739,98.36,2024-01-01T10:00:00,peer to peer transfer,0.8779184222221375|0.8226256370544434|0.7044581174850464|0.831332802772522|0.3391503393650055|0.15666824579238892|0.9165176153182983|0.7118837833404541,0,
tx_40,acc_8251,acc_7653,302.28,2024-01-01T10:00:00,grocery store purchase,0.1170865073800087|0.2581188380718231|0.956002950668335|0.10587705671787262|0.7031157612800598|0.06225818768143654|0.03444619104266167|0.1893383264541626,0,
tx_41,acc_6410,acc_3266,185.69,2024-01-01T10:00:00,restaurant payment,0.3084609806537628|0.003976467531174421|0.6529578566551208|0.331693559885025|0.5241283178329468|0.30914151668548584|0.42852240800857544|0.1168290227651596,0,
tx_42,acc_7704,acc_9335,351.87,2024-01-01T10:00:00,utility bill payment,0.9425399303436279|0.6992866396903992|0.7120257616043091|0.2511560618877411|0.21395057439804077|0.9848535060882568|0.6753411889076233|0.16796524822711945,0,
tx_43,acc_3332,acc_951,424.26,2024-01-01T10:00:00,utility bill payment,0.9425399303436279|0.6992866396903992|0.7120257616043091|0.2511560618877411|0.21395057439804077|0.9848535060882568|0.6753411889076233|0.16796524822711945,0,
tx_44,acc_5608,acc_8674,67.43,2024-01-01T10:00:00,restaurant payment,0.3084609806537628|0.003976467531174421|0.6529578566551208|0.331693559885025|0.5241283178329468|0.30914151668548584|0.42852240800857544|0.1168290227651596,0,
tx_45,acc_7246,acc_2864,241.1,2024-01-01T10:00:00,grocery store purchase,0.1170865073800087|0.2581188380718231|0.956002950668335|0.10587705671787262|0.7031157612800598|0.06225818768143654|0.03444619104266167|0.1893383264541626,0,
tx_46,acc_6715,acc_9324,459.58,2024-01-01T10:00:00,mortgage payment,0.4359501302242279|0.482932448387146|0.14257493615150452|0.5612303018569946|0.041915133595466614|0.5039990544319153|0.9002955555915833|0.7567067742347717,0,
tx_47,acc_5851,acc_6367,85.17,2024-01-01T10:00:00,restaurant payment,0.3084609806537628|0.003976467531174421|0.6529578566551208|0.331693559885025|0.5241283178329468|0.30914151668548584|0.42852240800857544|0.1168290227651596,0,
tx_48,acc_203,acc_7503,174.6,2024-01-01T10:00:00,salary deposit,0.597453236579895|0.8582154512405396|0.5490487813949585|0.5491294860839844|0.574560284614563|0.29409533739089966|0.6905863285064697|0.13811588287353516,0,
tx_49,acc_748,acc_8918,76.07,2024-01-01T10:00:00,restaurant payment,0.3084609806537628|0.003976467531174421|0.6529578566551208|0.331693559885025|0.5241283178329468|0.30914151668548584|0.42852240800857544|0.1168290227651596,0,
tx_50,acc_7894,acc_5770,151.06,2024-01-01T10:00:00,investment deposit,0.23608139157295227|0.9029799103736877|0.8589285612106323|0.05286058783531189|0.40212538838386536|0.16799317300319672|0.5681096911430359|0.15377177298069,0,
tx_51,acc_5885,acc_9671,74.85,2024-01-01T10:00:00,investment deposit,0.23608139157295227|0.9029799103736877|0.8589285612106323|0.05286058783531189|0.40212538838386536|0.16799317300319672|0.5681096911430359|0.15377177298069,0,
tx_52,acc_5083,acc_6357,416.16,2024-01-01T10:00:00,peer to peer transfer,0.8779184222221375|0.8226256370544434|0.7044581174850464|0.831332802772522|0.3391503393650055|0.15666824579238892|0.9165176153182983|0.7118837833404541,0,
tx_53,acc_1322,acc_24,104.23,2024-01-01T10:00:00,investment deposit,0.23608139157295227|0.9029799103736877|0.8589285612106323|0.05286058783531189|0.40212538838386536|0.16799317300319672|0.5681096911430359|0.15377177298069,0,
tx_54,acc_5478,acc_2622,119.32,2024-01-01T10:00:00,online subscription,0.41516026854515076|0.818891167640686|0.16727232933044434|0.8448211550712585|0.11390852183103561|0.4032769203186035|0.4932481646537781|0.5231239795684814,0,
tx_55,acc_7342,acc_6203,438.52,2024-01-01T10:00:00,investment deposit,0.23608139157295227|0.9029799103736877|0.8589285612106323|0.05286058783531189|0.40212538838386536|0.16799317300319672|0.5681096911430359|0.15377177298069,0,
tx_56,acc_516,acc_6590,214.93,2024-01-01T10:00:00,investment deposit,0.23608139157295227|0.9029799103736877|0.8589285612106323|0.05286058783531189|0.40212538838386536|0.16799317300319672|0.5681096911430359|0.15377177298069,0,
tx_57,acc_766,acc_2714,41.3,2024-01-01T10:00:00,insurance premium,0.33380112051963806|0.4586203694343567|0.5838662981987|0.5698176622390747|0.25706443190574646|0.4771043658256531|0.8953772187232971|0.9008307456970215,0,
tx_58,acc_2583,acc_7313,443.62,2024-01-01T10:00:00,mortgage payment,0.4359501302242279|0.482932448387146|0.14257493615150452|0.5612303018569946|0.041915133595466614|0.5039990544319153|0.9002955555915833|0.7567067742347717,0,
tx_59,acc_9198,acc_9895,443.1,2024-01-01T10:00:00,grocery store purchase,0.1170865073800087|0.2581188380718231|0.956002950668335|0.10587705671787262|0.7031157612800598|0.06225818768143654|0.03444619104266167|0.1893383264541626,0,
tx_60,acc_8103,acc_5340,420.49,2024-01-01T10:00:00,restaurant payment,0.3084609806537628|0.003976467531174421|0.6529578566551208|0.331693559885025|0.5241283178329468|0.30914151668548584|0.42852240800857544|0.1168290227651596,0,
tx_61,acc_816,acc_6801,278.8,2024-01-01T10:00:00,online subscription,0.41516026854515076|0.818891167640686|0.16727232933044434|0.8448211550712585|0.11390852183103561|0.4032769203186035|0.4932481646537781|0.5231239795684814,0,
tx_62,acc_1367,acc_2138,206.89,2024-01-01T10:00:00,grocery store purchase,0.1170865073800087|0.2581188380718231|0.956002950668335|0.10587705671787262|0.7031157612800598|0.06225818768143654|0.03444619104266167|0.1893383264541626,0,
tx_63,acc_6840,acc_5180,114.63,2024-01-01T10:00:00,grocery store purchase,0.1170865073800087|0.2581188380718231|0.956002950668335|0.10587705671787262|0.7031157612800598|0.06225818768143654|0.03444619104266167|0.1893383264541626,0,
tx_64,acc_38,acc_8656,57.91,2024-01-01T10:00:00,investment deposit,0.23608139157295227|0.9029799103736877|0.8589285612106323|0.05286058783531189|0.40212538838386536|0.16799317300319672|0.5681096911430359|0.15377177298069,0,
tx_65,acc_1948,acc_9967,438.09,2024-01-01T10:00:00,online subscription,0.41516026854515076|0.818891167640686|0.16727232933044434|0.8448211550712585|0.11390852183103561|0.4032769203186035|0.4932481646537781|0.5231239795684814,0,
tx_66,acc_4587,acc_2985,243.05,2024-01-01T10:00:00,salary deposit,0.597453236579895|0.8582154512405396|0.5490487813949585|0.5491294860839844|0.574560284614563|0.29409533739089966|0.6905863285064697|0.13811588287353516,0,
tx_67,acc_6499,acc_1332,144.61,2024-01-01T10:00:00,grocery store purchase,0.1170865073800087|0.2581188380718231|0.956002950668335|0.10587705671787262|0.7031157612800598|0.06225818768143654|0.03444619104266167|0.1893383264541626,0,
tx_68,acc_7421,acc_1896,75.38,2024-01-01T10:00:00,restaurant payment,0.3084609806537628|0.003976467531174421|0.6529578566551208|0.331693559885025|0.5241283178329468|0.30914151668548584|0.42852240800857544|0.1168290227651596,0,
tx_69,acc_8533,acc_5686,437.21,2024-01-01T10:00:00,salary deposit,0.597453236579895|0.8582154512405396|0.5490487813949585|0.5491294860839844|0.574560284614563|0.29409533739089966|0.6905863285064697|0.13811588287353516,0,
tx_70,acc_4561,acc_304,29.93,2024-01-01T10:00:00,grocery store purchase,0.1170865073800087|0.2581188380718231|0.956002950668335|0.10587705671787262|0.7031157612800598|0.06225818768143654|0.03444619104266167|0.1893383264541626,0,
tx_71,acc_4254,acc_9148,473.79,2024-01-01T10:00:00,atm withdrawal,0.31204885244369507|0.646647036075592|0.4768295884132385|0.31131452322006226|0.7565145492553711|0.8367018699645996|0.24399809539318085|0.9977754354476929,0,
tx_72,acc_9297,acc_688,331.13,2024-01-01T10:00:00,investment deposit,0.23608139157295227|0.9029799103736877|0.8589285612106323|0.05286058783531189|0.40212538838386536|0.16799317300319672|0.5681096911430359|0.15377177298069,0,
tx_73,acc_7514,acc_7134,436.99,2024-01-01T10:00:00,atm withdrawal,0.31204885244369507|0.646647036075592|0.4768295884132385|0.31131452322006226|0.7565145492553711|0.8367018699645996|0.24399809539318085|0.9977754354476929,0,
tx_74,acc_2921,acc_3405,297.69,2024-01-01T10:00:00,peer to peer transfer,0.8779184222221375|0.8226256370544434|0.7044581174850464|0.831332802772522|0.3391503393650055|0.15666824579238892|0.9165176153182983|0.7118837833404541,0,
tx_75,acc_145,acc_2268,142.97,2024-01-01T10:00:00,utility bill payment,0.9425399303436279|0.6992866396903992|0.7120257616043091|0.2511560618877411|0.21395057439804077|0.9848535060882568|0.6753411889076233|0.16796524822711945,0,
tx_76,acc_5529,acc_6016,175.75,2024-01-01T10:00:00,salary deposit,0.597453236579895|0.8582154512405396|0.5490487813949585|0.5491294860839844|0.574560284614563|0.29409533739089966|0.6905863285064697|0.13811588287353516,0,
tx_77,acc_584,acc_675,90.29,2024-01-01T10:00:00,restaurant payment,0.3084609806537628|0.003976467531174421|0.6529578566551208|0.331693559885025|0.5241283178329468|0.30914151668548584|0.42852240800857544|0.1168290227651596,0,
tx_78,acc_9559,acc_4743,203.45,2024-01-01T10:00:00,atm withdrawal,0.31204885244369507|0.646647036075592|0.4768295884132385|0.31131452322006226|0.7565145492553711|0.8367018699645996|0.24399809539318085|0.9977754354476929,0,
tx_79,acc_8986,acc_2124,66.3,2024-01-01T10:00:00,restaurant payment,0.3084609806537628|0.003976467531174421|0.6529578566551208|0.331693559885025|0.5241283178329468|0.30914151668548584|0.42852240800857544|0.1168290227651596,0,
tx_80,acc_3927,acc_790,98.0,2024-01-01T10:00:00,restaurant payment,0.3084609806537628|0.003976467531174421|0.6529578566551208|0.331693559885025|0.5241283178329468|0.30914151668548584|0.42852240800857544|0.1168290227651596,0,
tx_81,acc_8569,acc_1161,207.55,2024-01-01T10:00:00,restaurant payment,0.3084609806537628|0.003976467531174421|0.6529578566551208|0.331693559885025|0.5241283178329468|0.30914151668548584|0.42852240800857544|0.1168290227651596,0,
tx_82,acc_5382,acc_4902,63.24,2024-01-01T10:00:00,peer to peer transfer,0.8779184222221375|0.8226256370544434|0.7044581174850464|0.831332802772522|0.3391503393650055|0.15666824579238892|0.9165176153182983|0.7118837833404541,0,
tx_83,acc_9188,acc_7883,175.17,2024-01-01T10:00:00,insurance premium,0.33380112051963806|0.4586203694343567|0.5838662981987|0.5698176622390747|0.25706443190574646|0.4771043658256531|0.8953772187232971|0.9008307456970215,0,
tx_84,acc_5630,acc_2036,66.84,2024-01-01T10:00:00,insurance premium,0.33380112051963806|0.4586203694343567|0.5838662981987|0.5698176622390747|0.25706443190574646|0.4771043658256531|0.8953772187232971|0.9008307456970215,0,
tx_85,acc_8154,acc_6988,157.93,2024-01-01T10:00:00,grocery store purchase,0.1170865073800087|0.2581188380718231|0.956002950668335|0.10587705671787262|0.7031157612800598|0.06225818768143654|0.03444619104266167|0.1893383264541626,0,
tx_86,acc_2550,acc_2728,194.03,2024-01-01T10:00:00,investment deposit,0.23608139157295227|0.9029799103736877|0.8589285612106323|0.05286058783531189|0.40212538838386536|0.16799317300319672|0.5681096911430359|0.15377177298069,0,
tx_87,acc_1424,acc_1078,107.04,2024-01-01T10:00:00,salary deposit,0.597453236579895|0.8582154512405396|0.5490487813949585|0.5491294860839844|0.574560284614563|0.29409533739089966|0.6905863285064697|0.13811588287353516,0,
tx_88,acc_3621,acc_1001,13.85,2024-01-01T10:00:00,peer to peer transfer,0.8779184222221375|0.8226256370544434|0.7044581174850464|0.831332802772522|0.3391503393650055|0.15666824579238892|0.9165176153182983|0.7118837833404541,0,
tx_89,acc_6452,acc_9117,152.01,2024-01-01T10:00:00,mortgage payment,0.4359501302242279|0.482932448387146|0.14257493615150452|0.5612303018569946|0.041915133595466614|0.5039990544319153|0.9002955555915833|0.7567067742347717,0,
tx_90,acc_8005,acc_9582,217.29,2024-01-01T10:00:00,online subscription,0.41516026854515076|0.818891167640686|0.16727232933044434|0.8448211550712585|0.11390852183103561|0.4032769203186035|0.4932481646537781|0.5231239795684814,0,
tx_91,acc_6034,acc_3606,296.76,2024-01-01T10:00:00,restaurant payment,0.3084609806537628|0.003976467531174421|0.6529578566551208|0.331693559885025|0.5241283178329468|0.30914151668548584|0.42852240800857544|0.1168290227651596,0,
tx_92,acc_2729,acc_7065,185.67,2024-01-01T10:00:00,online subscription,0.41516026854515076|0.818891167640686|0.16727232933044434|0.8448211550712585|0.11390852183103561|0.4032769203186035|0.4932481646537781|0.5231239795684814,0,
tx_93,acc_1046,acc_452,231.29,2024-01-01T10:00:00,mortgage payment,0.4359501302242279|0.482932448387146|0.14257493615150452|0.5612303018569946|0.041915133595466614|0.5039990544319153|0.9002955555915833|0.7567067742347717,0,
tx_94,acc_3304,acc_1948,205.0,2024-01-01T10:00:00,insurance premium,0.33380112051963806|0.4586203694343567|0.5838662981987|0.5698176622390747|0.25706443190574646|0.4771043658256531|0.8953772187232971|0.9008307456970215,0,
tx_95,acc_3395,acc_689,315.47,2024-01-01T10:00:00,online subscription,0.41516026854515076|0.818891167640686|0.16727232933044434|0.8448211550712585|0.11390852183103561|0.4032769203186035|0.4932481646537781|0.5231239795684814,0,
tx_96,acc_1714,acc_3243,195.24,2024-01-01T10:00:00,insurance premium,0.33380112051963806|0.4586203694343567|0.5838662981987|0.5698176622390747|0.25706443190574646|0.4771043658256531|0.8953772187232971|0.9008307456970215,0,
tx_97,acc_8952,acc_2479,494.46,2024-01-01T10:00:00,salary deposit,0.597453236579895|0.8582154512405396|0.5490487813949585|0.5491294860839844|0.574560284614563|0.29409533739089966|0.6905863285064697|0.13811588287353516,0,
tx_98,acc_7993,acc_2431,208.89,2024-01-01T10:00:00,investment deposit,0.23608139157295227|0.9029799103736877|0.8589285612106323|0.05286058783531189|0.40212538838386536|0.16799317300319672|0.5681096911430359|0.15377177298069,0,
tx_99,acc_6934,acc_8539,342.87,2024-01-01T10:00:00,insurance premium,0.33380112051963806|0.4586203694343567|0.5838662981987|0.5698176622390747|0.25706443190574646|0.4771043658256531|0.8953772187232971|0.9008307456970215,0,
tx_100,acc_5283,acc_8166,321.18,2024-01-01T10:00:00,insurance premium,0.33380112051963806|0.4586203694343567|0.5838662981987|0.5698176622390747|0.25706443190574646|0.4771043658256531|0.8953772187232971|0.9008307456970215,0,
tx_101,acc_3309,acc_8893,466.34,2024-01-01T10:00:00,investment deposit,0.23608139157295227|0.9029799103736877|0.8589285612106323|0.05286058783531189|0.40212538838386536|0.16799317300319672|0.5681096911430359|0.15377177298069,0,
tx_102,acc_159,acc_5574,410.88,2024-01-01T10:00:00,atm withdrawal,0.31204885244369507|0.646647036075592|0.4768295884132385|0.31131452322006226|0.7565145492553711|0.8367018699645996|0.24399809539318085|0.9977754354476929,0,
tx_103,acc_581,acc_8603,438.5,2024-01-01T10:00:00,utility bill payment,0.9425399303436279|0.6992866396903992|0.7120257616043091|0.2511560618877411|0.21395057439804077|0.9848535060882568|0.6753411889076233|0.16796524822711945,0,
tx_104,acc_9872,acc_2554,295.64,2024-01-01T10:00:00,peer to peer transfer,0.8779184222221375|0.8226256370544434|0.7044581174850464|0.831332802772522|0.3391503393650055|0.15666824579238892|0.9165176153182983|0.7118837833404541,0,
tx_105,acc_7707,acc_1087,263.1,2024-01-01T10:00:00,salary deposit,0.597453236579895|0.8582154512405396|0.5490487813949585|0.5491294860839844|0.574560284614563|0.29409533739089966|0.6905863285064697|0.13811588287353516,0,
tx_106,acc_645,acc_1087,73.94,2024-01-01T10:00:00,online subscription,0.41516026854515076|0.818891167640686|0.16727232933044434|0.8448211550712585|0.11390852183103561|0.4032769203186035|0.4932481646537781|0.5231239795684814,0,
tx_107,acc_4922,acc_250,171.99,2024-01-01T10:00:00,insurance premium,0.33380112051963806|0.4586203694343567|0.5838662981987|0.5698176622390747|0.25706443190574646|0.4771043658256531|0.8953772187232971|0.9008307456970215,0,
tx_108,acc_2632,acc_2438,484.61,2024-01-01T10:00:00,insurance premium,0.33380112051963806|0.4586203694343567|0.5838662981987|0.5698176622390747|0.25706443190574646|0.4771043658256531|0.8953772187232971|0.9008307456970215,0,
tx_109,acc_8273,acc_6262,256.19,2024-01-01T10:00:00,mortgage payment,0.4359501302242279|0.482932448387146|0.14257493615150452|0.5612303018569946|0.041915133595466614|0.5039990544319153|0.9002955555915833|0.7567067742347717,0,
tx_110,acc_9402,acc_1485,381.34,2024-01-01T10:00:00,mortgage payment,0.4359501302242279|0.482932448387146|0.14257493615150452|0.5612303018569946|0.041915133595466614|0.5039990544319153|0.9002955555915833|0.7567067742347717,0,
tx_111,acc_1251,acc_6985,151.94,2024-01-01T10:00:00,online subscription,0.41516026854515076|0.818891167640686|0.16727232933044434|0.8448211550712585|0.11390852183103561|0.4032769203186035|0.4932481646537781|0.5231239795684814,0,
tx_112,acc_9807,acc_6845,424.29,2024-01-01T10:00:00,insurance premium,0.33380112051963806|0.4586203694343567|0.5838662981987|0.5698176622390747|0.25706443190574646|0.4771043658256531|0.8953772187232971|0.9008307456970215,0,
tx_113,acc_6366,acc_9952,124.45,2024-01-01T10:00:00,investment deposit,0.23608139157295227|0.9029799103736877|0.8589285612106323|0.05286058783531189|0.40212538838386536|0.16799317300319672|0.5681096911430359|0.15377177298069,0,
tx_114,acc_335,acc_3,158.2,2024-01-01T10:00:00,utility bill payment,0.9425399303436279|0.6992866396903992|0.7120257616043091|0.2511560618877411|0.21395057439804077|0.9848535060882568|0.6753411889076233|0.16796524822711945,0,
tx_115,acc_9343,acc_4169,42.15,2024-01-01T10:00:00,atm withdrawal,0.31204885244369507|0.646647036075592|0.4768295884132385|0.31131452322006226|0.7565145492553711|0.8367018699645996|0.24399809539318085|0.9977754354476929,0,
tx_116,acc_4292,acc_4961,198.24,2024-01-01T10:00:00,peer to peer transfer,0.8779184222221375|0.8226256370544434|0.7044581174850464|0.831332802772522|0.3391503393650055|0.15666824579238892|0.9165176153182983|0.7118837833404541,0,
tx_117,acc_6286,acc_1020,324.08,2024-01-01T10:00:00,utility bill payment,0.9425399303436279|0.6992866396903992|0.7120257616043091|0.2511560618877411|0.21395057439804077|0.9848535060882568|0.6753411889076233|0.16796524822711945,0,
tx_118,acc_2086,acc_3914,367.43,2024-01-01T10:00:00,restaurant payment,0.3084609806537628|0.003976467531174421|0.6529578566551208|0.331693559885025|0.5241283178329468|0.30914151668548584|0.42852240800857544|0.1168290227651596,0,
tx_119,acc_5472,acc_909,245.85,2024-01-01T10:00:00,grocery store purchase,0.1170865073800087|0.2581188380718231|0.956002950668335|0.10587705671787262|0.7031157612800598|0.06225818768143654|0.03444619104266167|0.1893383264541626,0,
tx_120,acc_2308,acc_8058,361.42,2024-01-01T10:00:00,investment deposit,0.23608139157295227|0.9029799103736877|0.8589285612106323|0.05286058783531189|0.40212538838386536|0.16799317300319672|0.5681096911430359|0.15377177298069,0,
