tran_id,orig_acct,bene_acct,tx_type,base_amt,tran_timestamp,is_sar,alert_id
73,A000450,A000140,CREDIT,763.72,2018-05-18T00:00:00Z,False,
74,A000801,A000215,WIRE,304.50,2017-05-16T00:00:00Z,False,
75,A000427,A000699,CREDIT,137.66,2018-07-12T00:00:00Z,False,
76,A000419,A000350,WIRE,297.37,2018-10-29T00:00:00Z,False,
77,A000351,A000794,TRANSFER,613.86,2017-05-29T00:00:00Z,False,
78,A000210,A000211,TRANSFER,122.72,2018-11-23T00:00:00Z,False,
79,A000135,A000304,CREDIT,707.11,2018-10-07T00:00:00Z,False,
80,A000289,A000874,WIRE,581.70,2017-08-12T00:00:00Z,False,
81,A000752,A000574,TRANSFER,168.91,2017-06-23T00:00:00Z,False,
82,A000399,A000456,DEPOSIT,96.59,2018-07-16T00:00:00Z,False,
83,A000923,A000462,CREDIT,910.22,2017-01-04T00:00:00Z,False,
84,A000993,A000457,WIRE,792.31,2018-08-25T00:00:00Z,False,
85,A000294,A000078,WIRE,467.01,2017-09-20T00:00:00Z,False,
86,A000945,A000205,TRANSFER,372.60,2017-08-03T00:00:00Z,False,
87,A000430,A000136,WIRE,80.46,2018-10-06T00:00:00Z,False,
88,A000221,A000387,DEPOSIT,181.48,2017-09-26T00:00:00Z,False,
89,A000113,A000759,CREDIT,940.96,2018-03-09T00:00:00Z,False,
90,A000093,A000353,CREDIT,537.31,2017-06-18T00:00:00Z,False,
91,A000561,A000452,DEPOSIT,985.39,2018-01-04T00:00:00Z,False,
92,A000170,A000031,CREDIT,489.69,2017-10-09T00:00:00Z,False,
93,A000387,A000979,CREDIT,637.50,2018-02-03T00:00:00Z,False,
94,A000990,A000039,CREDIT,212.93,2017-11-11T00:00:00Z,False,
95,A000333,A000140,WIRE,995.70,2018-08-23T00:00:00Z,False,
96,A000366,A000026,DEPOSIT,900.71,2018-10-08T00:00:00Z,False,
97,A000910,A000449,TRANSFER,807.46,2018-12-21T00:00:00Z,False,
98,A000635,A000643,TRANSFER,333.82,2017-06-18T00:00:00Z,False,
99,A000723,A000970,CREDIT,206.87,2017-07-18T00:00:00Z,False,
100,A000289,A000789,DEPOSIT,314.06,2018-04-23T00:00:00Z,False,
101,A000151,A000296,WIRE,180.49,2017-04-12T00:00:00Z,False,
102,A000526,A000921,WIRE,169.71,2017-02-27T00:00:00Z,False,
103,A000691,A000513,CREDIT,866.05,2018-06-13T00:00:00Z,False,
104,A000135,A000254,TRANSFER,449.95,2018-07-04T00:00:00Z,False,
105,A000597,A000590,CREDIT,236.72,2018-11-13T00:00:00Z,False,
106,A000237,A000604,CREDIT,493.68,2017-02-26T00:00:00Z,False,
107,A000464,A000889,CREDIT,939.09,2017-09-26T00:00:00Z,False,
108,A000696,A000113,TRANSFER,308.67,2018-07-12T00:00:00Z,False,
109,A000346,A000123,WIRE,592.04,2018-02-07T00:00:00Z,False,
110,A000927,A000938,CREDIT,271.66,2018-02-26T00:00:00Z,False,
111,A000988,A000933,WIRE,783.45,2017-10-12T00:00:00Z,False,
112,A000447,A000482,DEPOSIT,740.51,2018-10-07T00:00:00Z,False,
113,A000880,A000326,CREDIT,351.70,2018-01-28T00:00:00Z,False,
114,A000404,A000406,CREDIT,194.13,2018-01-20T00:00:00Z,False,
115,A000976,A000182,TRANSFER,586.13,2018-02-27T00:00:00Z,False,
116,A000123,A000502,DEPOSIT,293.98,2017-03-21T00:00:00Z,False,
117,A000459,A000498,TRANSFER,893.52,2017-12-02T00:00:00Z,False,
118,A000944,A000823,DEPOSIT,326.39,2018-10-24T00:00:00Z,False,
119,A000221,A000618,TRANSFER,963.05,2018-05-16T00:00:00Z,False,
120,A000287,A000565,DEPOSIT,582.57,2018-08-28T00:00:00Z,False,
121,A000008,A000021,TRANSFER,642.63,2017-01-14T00:00:00Z,False,
122,A000651,A000974,CREDIT,145.20,2018-09-14T00:00:00Z,False,
123,A000370,A000427,TRANSFER,292.08,2017-03-08T00:00:00Z,False,
124,A000609,A000636,WIRE,225.80,2017-12-09T00:00:00Z,False,
125,A000839,A000584,WIRE,639.01,2017-12-30T00:00:00Z,False,
126,A000077,A000979,DEPOSIT,912.83,2018-05-03T00:00:00Z,False,
127,A000740,A000122,CREDIT,969.25,2017-02-12T00:00:00Z,False,
128,A000512,A000671,DEPOSIT,715.72,2017-07-08T00:00:00Z,False,
129,A000301,A000438,CREDIT,74.00,2018-12-12T00:00:00Z,False,
130,A000186,A000298,TRANSFER,630.57,2017-03-16T00:00:00Z,False,
131,A000465,A000699,DEPOSIT,976.61,2018-04-13T00:00:00Z,False,
132,A000138,A000038,TRANSFER,217.79,2018-11-26T00:00:00Z,False,
133,A000797,A000119,CREDIT,891.59,2017-02-13T00:00:00Z,False,
134,A000503,A000922,TRANSFER,749.74,2018-06-03T00:00:00Z,False,
135,A000582,A000307,DEPOSIT,314.20,2018-09-25T00:00:00Z,False,
136,A000316,A000279,DEPOSIT,803.00,2017-04-10T00:00:00Z,False,
137,A000179,A000616,TRANSFER,197.42,2018-09-02T00:00:00Z,False,
138,A000017,A000574,TRANSFER,244.98,2018-02-07T00:00:00Z,False,
139,A000547,A000068,CREDIT,619.95,2017-07-04T00:00:00Z,False,
140,A000573,A000592,DEPOSIT,972.92,2017-02-18T00:00:00Z,False,
141,A000002,A000381,TRANSFER,670.32,2018-01-02T00:00:00Z,False,
142,A000046,A000608,CREDIT,677.03,2017-02-07T00:00:00Z,False,
143,A000891,A000106,WIRE,736.19,2017-08-27T00:00:00Z,False,
144,A000951,A000528,CREDIT,674.90,2018-02-16T00:00:00Z,False,
145,A000088,A000491,WIRE,551.98,2018-07-07T00:00:00Z,False,
146,A000594,A000543,DEPOSIT,212.45,2018-06-20T00:00:00Z,False,
147,A000793,A000196,CREDIT,907.30,2018-09-25T00:00:00Z,False,
148,A000286,A000817,WIRE,672.86,2018-04-03T00:00:00Z,False,
149,A000141,A000226,WIRE,151.71,2018-08-21T00:00:00Z,False,
150,A000704,A000706,CREDIT,200.77,2017-09-04T00:00:00Z,False,
151,A000553,A000222,TRANSFER,945.26,2018-06-04T00:00:00Z,False,
152,A000040,A000414,TRANSFER,989.78,2018-07-17T00:00:00Z,False,
153,A000532,A000397,DEPOSIT,61.56,2017-06-22T00:00:00Z,False,
154,A000936,A000950,DEPOSIT,244.71,2018-06-06T00:00:00Z,False,
155,A000774,A000318,TRANSFER,487.53,2017-12-21T00:00:00Z,False,
156,A000356,A000958,DEPOSIT,186.32,2017-04-16T00:00:00Z,False,
157,A000834,A000825,TRANSFER,174.56,2017-04-25T00:00:00Z,False,
158,A000796,A000696,DEPOSIT,184.76,2017-05-05T00:00:00Z,False,
159,A000371,A000297,TRANSFER,471.72,2018-03-23T00:00:00Z,False,
160,A000681,A000896,CREDIT,906.76,2018-07-21T00:00:00Z,False,
161,A000948,A000738,CREDIT,850.97,2017-01-10T00:00:00Z,False,
162,A000860,A000885,TRANSFER,263.34,2017-01-22T00:00:00Z,False,
163,A000832,A000257,CREDIT,716.73,2017-10-26T00:00:00Z,False,
164,A000728,A000157,CREDIT,852.96,2018-08-01T00:00:00Z,False,
165,A000119,A000550,WIRE,387.22,2018-07-09T00:00:00Z,False,
166,A000015,A000656,TRANSFER,183.21,2018-09-13T00:00:00Z,False,
167,A000072,A000907,WIRE,933.15,2017-07-26T00:00:00Z,False,
168,A000552,A000540,WIRE,491.32,2018-10-31T00:00:00Z,False,
169,A000327,A000563,WIRE,853.17,2017-04-25T00:00:00Z,False,
170,A000012,A000190,TRANSFER,173.48,2018-05-29T00:00:00Z,False,
171,A000052,A000171,WIRE,142.80,2018-09-26T00:00:00Z,False,
172,A000750,A000425,CREDIT,255.55,2017-10-06T00:00:00Z,False,
173,A000202,A000255,TRANSFER,753.01,2018-09-10T00:00:00Z,False,
174,A000440,A000068,DEPOSIT,707.57,2017-10-24T00:00:00Z,False,
175,A000472,A000107,DEPOSIT,490.75,2017-04-24T00:00:00Z,False,
176,A000507,A000869,TRANSFER,350.83,2018-03-23T00:00:00Z,False,
177,A000766,A000065,DEPOSIT,933.69,2017-01-10T00:00:00Z,False,
178,A000867,A000839,DEPOSIT,629.04,2018-02-21T00:00:00Z,False,
179,A000698,A000956,WIRE,250.40,2018-04-04T00:00:00Z,False,
180,A000617,A000740,WIRE,553.36,2017-07-27T00:00:00Z,False,
181,A000227,A000417,WIRE,201.19,2018-07-31T00:00:00Z,False,
182,A000558,A000808,DEPOSIT,894.14,2017-07-21T00:00:00Z,False,
183,A000197,A000338,TRANSFER,689.76,2018-05-27T00:00:00Z,False,
184,A000362,A000957,TRANSFER,880.27,2017-09-06T00:00:00Z,False,
185,A000171,A000457,WIRE,797.26,2017-11-26T00:00:00Z,False,
186,A000204,A000658,CREDIT,740.50,2018-11-01T00:00:00Z,False,
187,A000632,A000993,CREDIT,571.11,2018-12-18T00:00:00Z,False,
188,A000334,A000312,TRANSFER,264.54,2017-07-20T00:00:00Z,False,
189,A000176,A000939,WIRE,336.27,2018-08-20T00:00:00Z,False,
190,A000142,A000882,DEPOSIT,43.91,2017-05-21T00:00:00Z,False,
191,A000026,A000968,DEPOSIT,481.50,2017-02-19T00:00:00Z,False,
192,A000226,A000299,WIRE,565.42,2017-03-18T00:00:00Z,False,
193,A000564,A000201,WIRE,251.22,2017-03-11T00:00:00Z,False,
194,A000084,A000059,WIRE,578.66,2017-02-10T00:00:00Z,False,
195,A000333,A000715,DEPOSIT,519.78,2017-08-31T00:00:00Z,False,
196,A000898,A000951,DEPOSIT,30.05,2018-09-09T00:00:00Z,False,
197,A000502,A000305,TRANSFER,341.41,2018-10-01T00:00:00Z,False,
198,A000720,A000952,WIRE,428.93,2017-11-10T00:00:00Z,False,
199,A000960,A000214,CREDIT,492.93,2018-10-13T00:00:00Z,False,
200,A000731,A000002,CREDIT,851.35,2017-05-05T00:00:00Z,False,
201,A000172,A000489,WIRE,804.92,2018-07-20T00:00:00Z,False,
202,A000058,A000717,CREDIT,517.76,2018-09-16T00:00:00Z,False,
203,A000066,A000020,WIRE,470.19,2017-01-26T00:00:00Z,False,
204,A000764,A000249,TRANSFER,531.78,2017-06-14T00:00:00Z,False,
205,A000632,A000880,TRANSFER,548.75,2018-06-26T00:00:00Z,False,
206,A000878,A000808,TRANSFER,690.95,2017-01-31T00:00:00Z,False,
207,A000643,A000436,WIRE,257.86,2017-10-19T00:00:00Z,False,
208,A000292,A000095,DEPOSIT,324.64,2018-03-14T00:00:00Z,False,
209,A000717,A000757,CREDIT,471.61,2018-07-22T00:00:00Z,False,
210,A000000,A000849,WIRE,803.20,2018-06-23T00:00:00Z,False,
211,A000726,A000513,CREDIT,839.31,2017-09-13T00:00:00Z,False,
212,A000399,A000113,TRANSFER,908.30,2018-10-20T00:00:00Z,False,
213,A000656,A000526,TRANSFER,231.09,2017-09-13T00:00:00Z,False,
214,A000365,A000385,TRANSFER,817.36,2018-05-15T00:00:00Z,False,
215,A000605,A000244,DEPOSIT,909.57,2018-04-23T00:00:00Z,False,
216,A000510,A000316,WIRE,511.61,2017-03-26T00:00:00Z,False,
217,A000319,A000810,CREDIT,142.88,2018-08-06T00:00:00Z,False,
218,A000258,A000985,TRANSFER,115.34,2017-03-05T00:00:00Z,False,
219,A000440,A000534,DEPOSIT,658.09,2017-06-12T00:00:00Z,False,
220,A000037,A000988,TRANSFER,757.88,2017-02-19T00:00:00Z,False,
221,A000243,A000568,DEPOSIT,355.33,2018-04-19T00:00:00Z,False,
222,A000959,A000041,CREDIT,353.16,2018-10-31T00:00:00Z,False,
223,A000014,A000575,DEPOSIT,997.87,2017-01-26T00:00:00Z,False,
224,A000834,A000580,WIRE,151.98,2017-05-17T00:00:00Z,False,
225,A000290,A000890,CREDIT,93.88,2018-10-25T00:00:00Z,False,
226,A000183,A000121,WIRE,359.32,2017-07-16T00:00:00Z,False,
227,A000850,A000279,DEPOSIT,745.33,2018-06-07T00:00:00Z,False,
228,A000903,A000027,DEPOSIT,201.93,2018-02-24T00:00:00Z,False,
229,A000785,A000701,WIRE,616.96,2018-05-25T00:00:00Z,False,
230,A000928,A000464,TRANSFER,322.23,2017-09-27T00:00:00Z,False,
231,A000341,A000927,DEPOSIT,470.20,2017-12-27T00:00:00Z,False,
232,A000524,A000507,WIRE,476.55,2018-04-21T00:00:00Z,False,
233,A000415,A000596,CREDIT,978.06,2017-09-26T00:00:00Z,False,
234,A000824,A000952,TRANSFER,646.96,2017-12-19T00:00:00Z,False,
235,A000093,A000629,TRANSFER,354.10,2018-02-10T00:00:00Z,False,
236,A000020,A000006,CREDIT,399.09,2017-01-29T00:00:00Z,False,
237,A000725,A000449,TRANSFER,210.08,2018-11-11T00:00:00Z,False,
238,A000926,A000285,WIRE,800.92,2018-07-20T00:00:00Z,False,
239,A000417,A000591,WIRE,61.28,2017-10-30T00:00:00Z,False,
240,A000212,A000001,TRANSFER,381.61,2018-08-01T00:00:00Z,False,
241,A000989,A000594,CREDIT,880.25,2018-06-19T00:00:00Z,False,
242,A000465,A000700,WIRE,863.76,2017-05-08T00:00:00Z,False,
243,A000636,A000522,CREDIT,164.64,2017-05-13T00:00:00Z,False,
244,A000790,A000983,CREDIT,752.67,2017-03-06T00:00:00Z,False,
245,A000284,A000405,TRANSFER,306.84,2018-06-15T00:00:00Z,False,
246,A000839,A000544,CREDIT,174.63,2017-03-21T00:00:00Z,False,
247,A000060,A000098,DEPOSIT,533.68,2018-01-02T00:00:00Z,False,
248,A000208,A000548,DEPOSIT,270.90,2018-08-11T00:00:00Z,False,
249,A000748,A000716,TRANSFER,499.60,2018-08-13T00:00:00Z,False,
250,A000158,A000338,WIRE,720.71,2018-01-25T00:00:00Z,False,
251,A000011,A000414,WIRE,248.38,2018-08-28T00:00:00Z,False,
252,A000241,A000100,WIRE,463.69,2017-12-19T00:00:00Z,False,
253,A000248,A000555,TRANSFER,390.19,2018-11-13T00:00:00Z,False,
254,A000755,A000958,TRANSFER,526.21,2018-06-05T00:00:00Z,False,
255,A000522,A000045,WIRE,385.28,2017-03-04T00:00:00Z,False,
256,A000052,A000389,WIRE,521.82,2017-12-31T00:00:00Z,False,
257,A000587,A000461,CREDIT,740.05,2017-08-27T00:00:00Z,False,
258,A000011,A000264,WIRE,343.73,2017-02-01T00:00:00Z,False,
259,A000931,A000522,TRANSFER,978.78,2018-05-25T00:00:00Z,False,
260,A000218,A000911,WIRE,178.38,2018-04-14T00:00:00Z,False,
261,A000300,A000006,DEPOSIT,550.32,2017-07-02T00:00:00Z,False,
262,A000839,A000184,DEPOSIT,48.02,2018-11-06T00:00:00Z,False,
263,A000932,A000276,WIRE,850.62,2017-01-26T00:00:00Z,False,
264,A000389,A000822,WIRE,993.01,2018-11-02T00:00:00Z,False,
265,A000056,A000135,WIRE,120.75,2017-04-29T00:00:00Z,False,
266,A000197,A000971,CREDIT,872.57,2017-11-13T00:00:00Z,False,
267,A000301,A000551,CREDIT,618.18,2018-12-02T00:00:00Z,False,
268,A000451,A000755,WIRE,742.38,2018-01-13T00:00:00Z,False,
269,A000822,A000310,CREDIT,367.99,2018-09-04T00:00:00Z,False,
270,A000959,A000475,DEPOSIT,267.85,2018-08-11T00:00:00Z,False,
271,A000181,A000954,WIRE,781.21,2018-08-24T00:00:00Z,False,
272,A000688,A000427,DEPOSIT,600.79,2018-03-19T00:00:00Z,False,
273,A000206,A000671,WIRE,740.23,2018-08-12T00:00:00Z,False,
274,A000910,A000874,TRANSFER,937.16,2018-03-25T00:00:00Z,False,
275,A000673,A000543,DEPOSIT,665.26,2017-08-27T00:00:00Z,False,
276,A000951,A000079,CREDIT,436.81,2017-05-12T00:00:00Z,False,
277,A000652,A000958,WIRE,779.86,2017-12-17T00:00:00Z,False,
278,A000716,A000251,DEPOSIT,858.29,2018-06-09T00:00:00Z,False,
279,A000707,A000783,TRANSFER,877.09,2018-11-07T00:00:00Z,False,
280,A000250,A000907,DEPOSIT,622.43,2018-01-16T00:00:00Z,False,
281,A000517,A000995,WIRE,756.53,2018-04-07T00:00:00Z,False,
282,A000603,A000661,DEPOSIT,844.78,2017-12-02T00:00:00Z,False,
283,A000932,A000133,CREDIT,47.53,2018-01-30T00:00:00Z,False,
284,A000238,A000022,CREDIT,349.16,2018-12-18T00:00:00Z,False,
285,A000345,A000315,CREDIT,256.92,2018-12-16T00:00:00Z,False,
286,A000738,A000297,WIRE,631.82,2018-03-25T00:00:00Z,False,
287,A000967,A000692,DEPOSIT,208.84,2018-10-04T00:00:00Z,False,
288,A000438,A000808,TRANSFER,460.32,2018-11-07T00:00:00Z,False,
289,A000878,A000819,DEPOSIT,701.28,2017-09-12T00:00:00Z,False,
290,A000722,A000040,TRANSFER,231.85,2017-06-16T00:00:00Z,False,
291,A000290,A000165,DEPOSIT,681.30,2017-08-15T00:00:00Z,False,
292,A000590,A000672,WIRE,425.41,2018-11-22T00:00:00Z,False,
293,A000832,A000633,CREDIT,326.29,2017-08-13T00:00:00Z,False,
294,A000171,A000516,CREDIT,970.46,2018-12-09T00:00:00Z,False,
295,A000568,A000078,DEPOSIT,962.55,2018-06-23T00:00:00Z,False,
296,A000043,A000629,WIRE,448.42,2017-06-24T00:00:00Z,False,
297,A000130,A000990,TRANSFER,373.50,2017-01-11T00:00:00Z,False,
298,A000793,A000386,CREDIT,819.70,2018-11-28T00:00:00Z,False,
299,A000868,A000324,DEPOSIT,253.85,2017-09-30T00:00:00Z,False,
300,A000659,A000853,WIRE,29.55,2017-05-12T00:00:00Z,False,
301,A000839,A000653,TRANSFER,185.49,2018-05-21T00:00:00Z,False,
302,A000499,A000442,DEPOSIT,751.05,2017-10-27T00:00:00Z,False,
303,A000059,A000118,TRANSFER,541.73,2017-03-10T00:00:00Z,False,
304,A000802,A000128,DEPOSIT,787.35,2018-08-12T00:00:00Z,False,
305,A000202,A000873,CREDIT,912.78,2018-02-15T00:00:00Z,False,
306,A000830,A000850,WIRE,875.85,2017-04-30T00:00:00Z,False,
307,A000414,A000759,CREDIT,371.34,2017-08-25T00:00:00Z,False,
308,A000985,A000296,WIRE,707.39,2017-12-05T00:00:00Z,False,
309,A000033,A000095,TRANSFER,302.17,2017-09-12T00:00:00Z,False,
310,A000128,A000099,CREDIT,320.31,2017-10-18T00:00:00Z,False,
311,A000587,A000554,WIRE,94.38,2018-10-05T00:00:00Z,False,
312,A000954,A000205,DEPOSIT,172.46,2017-10-25T00:00:00Z,False,
313,A000420,A000000,DEPOSIT,777.13,2017-05-26T00:00:00Z,False,
314,A000764,A000912,WIRE,544.00,2018-08-13T00:00:00Z,False,
315,A000659,A000645,WIRE,475.45,2017-02-19T00:00:00Z,False,
316,A000496,A000108,DEPOSIT,758.27,2017-08-15T00:00:00Z,False,
317,A000821,A000042,DEPOSIT,762.39,2017-02-23T00:00:00Z,False,
318,A000540,A000709,CREDIT,635.59,2018-02-19T00:00:00Z,False,
319,A000854,A000150,DEPOSIT,930.58,2017-12-02T00:00:00Z,False,
320,A000070,A000162,WIRE,455.70,2018-03-28T00:00:00Z,False,
321,A000378,A000336,TRANSFER,880.65,2017-11-02T00:00:00Z,False,
322,A000302,A000457,TRANSFER,575.96,2017-11-23T00:00:00Z,False,
323,A000965,A000973,TRANSFER,883.44,2017-07-26T00:00:00Z,False,
324,A000561,A000695,WIRE,473.78,2017-05-01T00:00:00Z,False,
325,A000348,A000009,WIRE,765.15,2017-08-18T00:00:00Z,False,
326,A000201,A000433,WIRE,539.98,2017-12-05T00:00:00Z,False,
327,A000080,A000614,CREDIT,817.59,2018-06-18T00:00:00Z,False,
328,A000184,A000343,CREDIT,671.32,2017-09-15T00:00:00Z,False,
329,A000510,A000770,DEPOSIT,726.09,2018-04-16T00:00:00Z,False,
330,A000882,A000760,TRANSFER,795.28,2017-03-21T00:00:00Z,False,
331,A000335,A000739,WIRE,191.40,2018-04-30T00:00:00Z,False,
332,A000710,A000333,DEPOSIT,910.23,2018-07-03T00:00:00Z,False,
333,A000092,A000014,DEPOSIT,259.35,2018-12-11T00:00:00Z,False,
334,A000138,A000463,WIRE,439.44,2018-11-25T00:00:00Z,False,
335,A000163,A000308,DEPOSIT,338.35,2017-01-19T00:00:00Z,False,
336,A000291,A000869,WIRE,244.36,2017-01-12T00:00:00Z,False,
337,A000712,A000194,CREDIT,42.12,2017-10-31T00:00:00Z,False,
338,A000150,A000996,WIRE,611.90,2017-11-30T00:00:00Z,False,
339,A000624,A000705,WIRE,937.73,2017-10-21T00:00:00Z,False,
340,A000912,A000973,CREDIT,660.25,2017-10-22T00:00:00Z,False,
341,A000324,A000837,WIRE,641.80,2018-12-09T00:00:00Z,False,
342,A000902,A000279,WIRE,231.20,2018-12-07T00:00:00Z,False,
343,A000179,A000064,TRANSFER,941.45,2017-05-20T00:00:00Z,False,
344,A000841,A000904,TRANSFER,908.82,2018-04-29T00:00:00Z,False,
345,A000970,A000262,CREDIT,332.86,2018-02-03T00:00:00Z,False,
346,A000587,A000361,WIRE,105.26,2018-01-14T00:00:00Z,False,
347,A000854,A000059,DEPOSIT,984.33,2017-04-04T00:00:00Z,False,
348,A000854,A000663,DEPOSIT,561.67,2018-11-17T00:00:00Z,False,
349,A000631,A000500,WIRE,236.21,2017-09-03T00:00:00Z,False,
350,A000462,A000028,CREDIT,58.65,2017-04-15T00:00:00Z,False,
351,A000598,A000346,CREDIT,788.96,2018-07-14T00:00:00Z,False,
352,A000004,A000830,CREDIT,489.99,2018-01-03T00:00:00Z,False,
353,A000087,A000738,TRANSFER,822.84,2018-12-03T00:00:00Z,False,
354,A000618,A000388,DEPOSIT,318.64,2018-09-19T00:00:00Z,False,
355,A000847,A000357,TRANSFER,587.81,2018-04-18T00:00:00Z,False,
356,A000293,A000916,DEPOSIT,654.85,2017-10-19T00:00:00Z,False,
357,A000975,A000524,CREDIT,881.13,2017-08-07T00:00:00Z,False,
358,A000292,A000771,CREDIT,223.80,2018-07-16T00:00:00Z,False,
359,A000026,A000382,WIRE,221.34,2017-09-17T00:00:00Z,False,
360,A000895,A000409,CREDIT,851.44,2018-10-13T00:00:00Z,False,
361,A000046,A000492,CREDIT,402.56,2018-06-11T00:00:00Z,False,
