alert_id,alert_type,is_sar,member_count,main_acct,start_step,end_step
ALERT_000077,fan_out,True,10,A000820,464,472
ALERT_000078,cycle,True,10,A000905,231,247
ALERT_000079,fan_in,True,10,A000324,77,91
ALERT_000080,fan_out,True,10,A000510,183,192
ALERT_000081,cycle,True,10,A000351,693,711
ALERT_000082,fan_in,True,10,A000024,300,316
ALERT_000083,fan_out,True,10,A000590,242,251
ALERT_000084,cycle,True,10,A000494,427,437
ALERT_000085,fan_in,True,10,A000655,428,446
ALERT_000086,fan_out,True,10,A000642,563,570
ALERT_000087,cycle,True,10,A000675,110,128
ALERT_000088,fan_in,True,10,A000875,63,72
ALERT_000089,fan_out,True,10,A000721,50,57
ALERT_000090,cycle,True,10,A000622,188,208
ALERT_000091,fan_in,True,10,A000156,51,69
ALERT_000092,fan_out,True,10,A000142,688,703
ALERT_000093,cycle,True,10,A000949,209,225
ALERT_000094,fan_in,True,10,A000857,113,120
ALERT_000095,fan_out,True,10,A000697,41,47
ALERT_000096,cycle,True,10,A000958,291,310
ALERT_000097,fan_in,True,10,A000502,34,44
ALERT_000098,fan_out,True,10,A000231,579,585
ALERT_000099,cycle,True,10,A000173,493,503
ALERT_000100,fan_in,True,10,A000496,524,533
ALERT_000101,fan_out,True,10,A000297,205,213
ALERT_000102,cycle,True,10,A000935,640,655
ALERT_000103,fan_in,True,10,A000390,364,379
ALERT_000104,fan_out,True,10,A000263,223,234
ALERT_000105,cycle,True,10,A000725,205,214
ALERT_000106,fan_in,True,10,A000432,689,706
ALERT_000107,fan_out,True,10,A000529,641,660
ALERT_000108,cycle,True,10,A000753,222,233
ALERT_000109,fan_in,True,10,A000763,257,271
ALERT_000110,fan_out,True,10,A000600,263,273
ALERT_000111,cycle,True,10,A000477,587,593
ALERT_000112,fan_in,True,10,A000070,525,534
ALERT_000113,fan_out,True,10,A000367,406,411
ALERT_000114,cycle,True,10,A000808,73,84
ALERT_000115,fan_in,True,10,A000968,202,215
ALERT_000116,fan_out,True,10,A000195,435,444
ALERT_000117,cycle,True,10,A000000,245,255
ALERT_000118,fan_in,True,10,A000439,643,650
ALERT_000119,fan_out,True,10,A000442,438,451
ALERT_000120,cycle,True,10,A000034,71,85
ALERT_000121,fan_in,True,10,A000904,514,531
ALERT_000122,fan_out,True,10,A000483,341,352
ALERT_000123,cycle,True,10,A000413,512,524
ALERT_000124,fan_in,True,10,A000189,310,326
ALERT_000125,fan_out,True,10,A000282,134,148
ALERT_000126,cycle,True,10,A000190,173,192
ALERT_000127,fan_in,True,10,A000224,464,480
ALERT_000128,fan_out,True,10,A000041,572,585
ALERT_000129,cycle,True,10,A000438,195,210
ALERT_000130,fan_in,True,10,A000731,328,343
ALERT_000131,fan_out,True,10,A000845,167,181
ALERT_000132,cycle,True,10,A000396,173,189
ALERT_000133,fan_in,True,10,A000746,21,41
ALERT_000134,fan_out,True,10,A000292,416,428
ALERT_000135,cycle,True,10,A000731,663,677
ALERT_000136,fan_in,True,10,A000683,579,594
ALERT_000137,fan_out,True,10,A000209,587,602
ALERT_000138,cycle,True,10,A000786,333,342
ALERT_000139,fan_in,True,10,A000028,29,34
ALERT_000140,fan_out,True,10,A000090,438,444
ALERT_000141,cycle,True,10,A000714,366,383
ALERT_000142,fan_in,True,10,A000175,297,304
ALERT_000143,fan_out,True,10,A000176,689,699
ALERT_000144,cycle,True,10,A000590,440,458
ALERT_000145,fan_in,True,10,A000142,691,703
ALERT_000146,fan_out,True,10,A000983,519,527
ALERT_000147,cycle,True,10,A000754,563,568
ALERT_000148,fan_in,True,10,A000848,638,647
ALERT_000149,fan_out,True,10,A000811,620,628
ALERT_000150,cycle,True,10,A000301,111,120
